NKG2D(),CD45(),pErk(),CD107a()
3.01041,15.59,0.195187,10.9945
10.4057,33.0352,0.413443,15.1756
13.1354,37.8966,0.474227,11.4937
6.28217,16.0241,0.200498,7.68324
10.7929,30.5555,0.382387,17.4692
11.606,14.5775,0.182201,3.2443
3.9687,23.2911,0.291616,14.8486
3.98806,34.0288,0.426085,10.537
19.1369,53.3898,0.668083,16.0552
1.26805,18.7218,0.234448,5.81575
6.04017,41.7121,0.522229,7.54549
5.15931,30.4771,0.381546,9.24205
14.4035,58.4592,0.73172,17.1555
9.52489,26.6037,0.332893,6.04856
12.1868,30.581,0.382632,8.69951
2.67161,79.9937,1.00181,15.7429
16.6395,46.2152,0.578301,11.977
5.58522,75.5963,0.946636,13.2319
8.69243,33.4965,0.419261,9.46182
0.561426,26.252,0.328781,5.13775
4.53013,27.247,0.341114,6.17179
0.135517,49.7168,0.62268,8.72501
14.8584,36.939,0.462164,9.33037
2.26506,61.5552,0.770881,10.8489
2.21667,11.704,0.146522,3.91276
29.049,108.441,1.35723,19.2731
6.84359,50.9241,0.637605,19.6747
8.79891,44.7506,0.56021,11.1703
15.0133,36.9266,0.462018,10.698
10.1154,77.4304,0.96946,14.3548
5.13995,51.2229,0.6414,13.5657
1.25837,44.6652,0.559391,11.9171
2.2941,62.3866,0.781292,14.668
13.1258,54.1989,0.678392,9.83695
1.99403,45.5354,0.570247,7.68033
6.94039,65.3202,0.817891,13.4615
18.1883,64.115,0.802421,11.1843
15.023,30.274,0.378692,8.05427
11.577,44.7843,0.560531,10.4982
8.60531,21.4381,0.268232,6.78834
16.6008,41.0766,0.513946,11.5386
17.9172,30.9963,0.387638,7.52881
2.28442,49.8083,0.623769,12.5235
4.80116,31.7847,0.397941,7.77618
7.04687,55.5796,0.695891,11.3576
11.3834,40.5144,0.507059,8.18517
15.4973,25.1426,0.314416,11.8156
10.4929,64.9324,0.812927,27.4618
3.94934,55.8187,0.69899,12.763
6.71776,17.9126,0.224159,11.7055
8.75051,76.0015,0.951628,19.6264
5.50779,25.3846,0.317753,5.15982
34.1986,16.8878,0.210424,10.2432
3.33952,31.0036,0.388204,6.35869
4.90764,45.3678,0.568078,14.5065
4.28814,45.2717,0.566882,11.8833
14.568,47.0336,0.588608,9.91971
5.68202,87.2953,1.09316,16.4695
6.37896,37.4756,0.469162,6.85628
11.7512,47.5895,0.596743,329.912
5.94338,35.8097,0.448321,14.6086
1.6746,64.7051,0.810351,10.5999
4.7818,49.3539,0.618025,20.3462
21.8666,29.1822,0.364786,5.84642
2.52642,41.9213,0.524966,9.76733
4.58821,80.4719,1.00774,14.8521
11.9351,34.8202,0.435733,9.51889
3.91062,67.8218,0.849324,13.2683
3.91062,13.7167,0.171683,6.941
11.4705,60.1675,0.75322,15.7788
7.17271,49.6498,0.62166,22.7958
5.84658,67.7184,0.847987,20.337
0.716303,41.8658,0.524333,34.7735
5.16899,90.7045,1.13589,20.9006
3.63959,81.0508,1.01503,16.7646
9.93144,31.7706,0.397598,8.30035
7.23078,104.305,1.30614,18.5584
6.44672,84.7158,1.06082,15.3866
27.6454,18.1683,0.226653,4.25964
10.7639,32.0102,0.400688,40.2752
10.1831,38.9792,0.487865,6.09982
6.79519,47.5062,0.594777,12.2838
16.2426,28.7274,0.359272,5.3507
30.0557,40.0246,0.500326,10.7194
11.6544,54.6761,0.684413,9.93502
6.47576,31.2795,0.391556,6.65322
2.80713,31.1414,0.389942,5.55152
3.76543,54.8284,0.686597,13.1596
14.6164,29.6708,0.371138,5.38162
20.5792,89.8408,1.12455,14.8554
4.60757,51.3864,0.643476,19.9325
5.66266,49.5864,0.620877,11.17
4.15262,40.3357,0.50506,13.5566
4.02678,49.3651,0.618149,9.54001
17.6752,27.8637,0.348408,5.86268
14.81,49.5498,0.620114,12.08
12.1094,18.5487,0.231924,4.57004
4.18166,29.608,0.370717,12.0996
4.50109,36.168,0.452851,8.90808
24.5285,41.1824,0.515002,9.02403
0.658224,41.2048,0.516054,8.43096
8.06324,10.0594,0.125735,4.31166
19.3595,40.8272,0.510776,24.6125
13.7549,84.58,1.05888,17.5961
11.1608,33.1269,0.414553,19.0878
4.43333,54.3436,0.680495,10.6625
5.86594,51.2366,0.641534,10.9559
5.41099,16.143,0.202016,5.15403
14.6842,68.5885,0.858578,15.1187
4.64629,23.0122,0.288081,8.00344
2.10051,35.0242,0.438628,15.0967
4.56885,30.322,0.379622,5.71952
11.9932,60.6972,0.75983,13.1897
5.0722,77.0276,0.964609,22.7556
1.18093,34.2768,0.429267,6.30304
13.513,34.3805,0.430165,6.50638
18.6626,40.2578,0.503666,23.6559
7.32758,12.2887,0.153679,4.67003
5.14963,38.4997,0.482027,7.24868
15.6425,45.4483,0.568722,10.9105
7.09527,31.5639,0.395095,6.60577
3.14592,38.0016,0.475856,8.27661
4.74308,24.7875,0.310312,8.42906
2.88457,8.74483,0.109432,1.77117
